iter	Accuracy	MultiClass
0	0.7722457627	0.6583740999
1	0.7733050847	0.6300125346
2	0.7897245763	0.6057912938
3	0.7897245763	0.5862631046
4	0.7907838983	0.5665679054
5	0.7955508475	0.5507308244
6	0.7966101695	0.5357671581
7	0.7955508475	0.5229747142
8	0.8003177966	0.5131034038
9	0.7981991525	0.5043369873
10	0.7997881356	0.4979216223
11	0.7997881356	0.4897818363
12	0.7966101695	0.4833749738
13	0.7950211864	0.4774748589
14	0.7981991525	0.4707263499
15	0.8024364407	0.4655232919
16	0.8029661017	0.4598955218
17	0.8045550847	0.4565341675
18	0.8045550847	0.4525737228
19	0.8034957627	0.4489996463
20	0.8050847458	0.4452582901
21	0.8061440678	0.4424183503
22	0.8093220339	0.4384876648
23	0.8093220339	0.4358284404
24	0.8082627119	0.4328614976
25	0.8072033898	0.4291873066
26	0.8093220339	0.4265169026
27	0.8087923729	0.4239445098
28	0.8082627119	0.4217544662
29	0.8087923729	0.419777395
30	0.8093220339	0.417845856
31	0.8077330508	0.4159980898
32	0.8093220339	0.4139098532
33	0.8087923729	0.4119184683
34	0.8082627119	0.4105232367
35	0.8093220339	0.4094521069
36	0.8098516949	0.4083030544
37	0.8103813559	0.4060079668
38	0.8109110169	0.4038795533
39	0.811440678	0.4031606066
40	0.811440678	0.4019533772
41	0.811970339	0.4007494612
42	0.813559322	0.3990877139
43	0.8156779661	0.3972173318
44	0.8167372881	0.3957944851
45	0.8151483051	0.3945499907
46	0.813559322	0.3933826025
47	0.8146186441	0.392455367
48	0.813559322	0.3907756647
49	0.813559322	0.3899564172
50	0.8146186441	0.3890585061
51	0.8156779661	0.387861117
52	0.8167372881	0.3861694861
53	0.8183262712	0.3850727084
54	0.8177966102	0.3835845442
55	0.8188559322	0.3829066556
56	0.8199152542	0.381842937
57	0.8204449153	0.3812572931
58	0.8199152542	0.38032539
59	0.8199152542	0.3794741985
60	0.8188559322	0.3784362667
61	0.8183262712	0.3774513819
62	0.8209745763	0.3764105402
63	0.8204449153	0.3755857327
64	0.8183262712	0.375063125
65	0.8209745763	0.3741701969
66	0.8204449153	0.3735667982
67	0.8204449153	0.3729914015
68	0.8209745763	0.3720751931
69	0.8209745763	0.3716383283
70	0.8230932203	0.3706113844
71	0.8252118644	0.3691969125
72	0.8241525424	0.3685851858
73	0.8241525424	0.3676767371
74	0.8230932203	0.3667316469
75	0.8241525424	0.3660084232
76	0.8236228814	0.365039591
77	0.8262711864	0.3638276852
78	0.8268008475	0.3635047914
79	0.8283898305	0.3623571671
80	0.8278601695	0.3615847992
81	0.8283898305	0.3605494854
82	0.8289194915	0.3601162243
83	0.8299788136	0.3596123474
84	0.8299788136	0.3587612385
85	0.8315677966	0.3576617743
86	0.8294491525	0.3566405449
87	0.8294491525	0.3556490544
88	0.8305084746	0.3547644381
89	0.8320974576	0.353730615
90	0.8331567797	0.3529700703
91	0.8336864407	0.3522238032
92	0.8363347458	0.3515327996
93	0.8347457627	0.3507866428
94	0.8342161017	0.3498099236
95	0.8373940678	0.3489049874
96	0.8384533898	0.3483219673
97	0.8384533898	0.3477286277
98	0.8405720339	0.346511318
99	0.8416313559	0.3454869866
100	0.8416313559	0.3445771793
101	0.8405720339	0.3441527569
102	0.8421610169	0.3430335272
103	0.844279661	0.3420416119
104	0.844809322	0.3412597912
105	0.8453389831	0.3406365388
106	0.8453389831	0.3402945382
107	0.844279661	0.3395770115
108	0.844279661	0.3389718821
109	0.84375	0.3387079433
110	0.84375	0.3379223654
111	0.844809322	0.3375150874
112	0.844809322	0.3365633691
113	0.8463983051	0.3357827652
114	0.8463983051	0.3353242085
115	0.8474576271	0.3344674408
116	0.8479872881	0.3338731769
117	0.8469279661	0.3330613922
118	0.8453389831	0.3325103789
119	0.8474576271	0.3317615882
120	0.8474576271	0.3311823279
121	0.8490466102	0.3303754291
122	0.8485169492	0.3296268761
123	0.8490466102	0.3286620906
124	0.8501059322	0.3278829486
125	0.8506355932	0.3273086454
126	0.8501059322	0.3262338329
127	0.8495762712	0.3258719015
128	0.8543432203	0.3249671206
129	0.8538135593	0.3244851833
130	0.8543432203	0.3238418553
131	0.8559322034	0.3229685721
132	0.8564618644	0.3225038895
133	0.8580508475	0.3214038768
134	0.8569915254	0.3204626845
135	0.8564618644	0.3202803122
136	0.8575211864	0.3196290589
137	0.8591101695	0.3188515355
138	0.8596398305	0.3179394562
139	0.8606991525	0.3169990054
140	0.8601694915	0.3163427835
141	0.8622881356	0.3156739956
142	0.8622881356	0.3152797523
143	0.8612288136	0.3146263437
144	0.8617584746	0.3143716284
145	0.8606991525	0.3139218657
146	0.8617584746	0.3134903994
147	0.8633474576	0.313175666
148	0.8638771186	0.312619998
149	0.8649364407	0.3117848705
150	0.8659957627	0.3110124126
151	0.8649364407	0.3107902883
152	0.8649364407	0.3101816599
153	0.8644067797	0.3097666705
154	0.8638771186	0.3093557571
155	0.8654661017	0.3087879462
156	0.8654661017	0.3084603059
157	0.8659957627	0.3076909268
158	0.8670550847	0.3071928822
159	0.8670550847	0.3063543838
160	0.8691737288	0.3055800354
161	0.8697033898	0.3048203384
162	0.8707627119	0.3042171553
163	0.8702330508	0.3032845958
164	0.8718220339	0.3027468825
165	0.8707627119	0.3019864277
166	0.8718220339	0.3013912814
167	0.8723516949	0.3008581552
168	0.8728813559	0.3003717377
169	0.875	0.299805361
170	0.874470339	0.299427598
171	0.8765889831	0.2987135988
172	0.876059322	0.298237492
173	0.875	0.2977748252
174	0.875	0.2971138861
175	0.8776483051	0.2963689363
176	0.8776483051	0.2960701108
177	0.8781779661	0.295709855
178	0.8808262712	0.294998306
179	0.8818855932	0.2945614039
180	0.8824152542	0.2939703191
181	0.8840042373	0.2935583154
182	0.8840042373	0.2929472707
183	0.8845338983	0.2923399103
184	0.8866525424	0.2918094032
185	0.8855932203	0.2913645138
186	0.8855932203	0.2908922974
187	0.8850635593	0.2901398774
188	0.8850635593	0.2896119107
189	0.8866525424	0.2890316169
190	0.8861228814	0.2885917707
191	0.8866525424	0.2877013926
192	0.8866525424	0.2874200423
193	0.8882415254	0.286929412
194	0.8871822034	0.2865876906
195	0.8877118644	0.2863179903
196	0.8877118644	0.2858946354
197	0.8887711864	0.2855624645
198	0.8893008475	0.2849835882
199	0.8908898305	0.2843725381
200	0.8893008475	0.2838674093
201	0.8903601695	0.2836270236
202	0.8893008475	0.2833848549
203	0.8893008475	0.2830164071
204	0.8887711864	0.2825139099
205	0.8908898305	0.28210975
206	0.8914194915	0.2818020449
207	0.8914194915	0.2815947885
208	0.8908898305	0.281078986
209	0.8914194915	0.2805202478
210	0.8908898305	0.2800973323
211	0.8908898305	0.2796705831
212	0.8924788136	0.2791958185
213	0.8908898305	0.278887309
214	0.8908898305	0.2783892372
215	0.8924788136	0.2781427552
216	0.8919491525	0.2776825918
217	0.8914194915	0.277330461
218	0.8924788136	0.2769385035
219	0.8924788136	0.2764351116
220	0.8935381356	0.2760026362
221	0.8940677966	0.2755997972
222	0.8945974576	0.2749461571
223	0.8924788136	0.2746696285
224	0.8935381356	0.274035748
225	0.8940677966	0.2736883656
226	0.8940677966	0.2733810984
227	0.8940677966	0.2728488802
228	0.8951271186	0.272384904
229	0.8956567797	0.2718720714
230	0.8961864407	0.2709822012
231	0.8977754237	0.2705157241
232	0.8972457627	0.2703555513
233	0.8972457627	0.2699625093
234	0.8983050847	0.269360296
235	0.8993644068	0.2689245964
236	0.8988347458	0.2686998124
237	0.8988347458	0.2682517435
238	0.8998940678	0.2679856437
239	0.9009533898	0.2676114816
240	0.8993644068	0.2673819714
241	0.8998940678	0.2669720368
242	0.8998940678	0.2666439043
243	0.9009533898	0.2661466011
244	0.9009533898	0.2658063081
245	0.9004237288	0.2654389409
246	0.9020127119	0.2648618829
247	0.9020127119	0.2644948336
248	0.9014830508	0.2639463648
249	0.9004237288	0.2635173573
250	0.9009533898	0.2630152944
251	0.9030720339	0.2625503916
252	0.9030720339	0.2621366104
253	0.9030720339	0.2616967611
254	0.9036016949	0.2613972083
255	0.9046610169	0.2608844751
256	0.9046610169	0.2603930779
257	0.9046610169	0.2601674935
258	0.9046610169	0.2599151056
259	0.905720339	0.259185448
260	0.905720339	0.2590326551
261	0.905720339	0.2588291853
262	0.905190678	0.2584082137
263	0.905190678	0.2578701249
264	0.90625	0.2575744317
265	0.906779661	0.2571069867
266	0.906779661	0.2566187135
267	0.9078389831	0.2563024651
268	0.9083686441	0.255806668
269	0.9094279661	0.2555635917
270	0.9094279661	0.2552297976
271	0.9099576271	0.2548158843
272	0.9083686441	0.2542768355
273	0.9083686441	0.2540983806
274	0.9078389831	0.2537022546
275	0.9083686441	0.253366368
276	0.9088983051	0.2529455701
277	0.9110169492	0.252299298
278	0.9115466102	0.2520253607
279	0.9120762712	0.2513250686
280	0.9120762712	0.2511946923
281	0.9120762712	0.2508906314
282	0.9120762712	0.2506942355
283	0.9126059322	0.2500463339
284	0.9136652542	0.2494297202
285	0.9126059322	0.2491901594
286	0.9136652542	0.2483627364
287	0.9141949153	0.2480867606
288	0.9147245763	0.2478378488
289	0.9136652542	0.247332768
290	0.9147245763	0.2467145706
291	0.9157838983	0.2463464996
292	0.9152542373	0.2460895897
293	0.9147245763	0.2458064668
294	0.9152542373	0.2455258793
295	0.9168432203	0.2449168821
296	0.9173728814	0.2441617713
297	0.9179025424	0.2437595685
298	0.9184322034	0.2433174042
299	0.9194915254	0.2430689431
300	0.9205508475	0.2426385824
301	0.9205508475	0.2423251762
302	0.9210805085	0.242025894
303	0.9205508475	0.2417294615
304	0.9210805085	0.2413229851
305	0.9210805085	0.2411101947
306	0.9210805085	0.240726454
307	0.9200211864	0.2403174864
308	0.9205508475	0.2401187009
309	0.9200211864	0.2398803141
310	0.9205508475	0.2395246346
311	0.9205508475	0.2391913618
312	0.9205508475	0.238730811
313	0.9200211864	0.2384812897
314	0.9194915254	0.2381663523
315	0.9200211864	0.2379641683
316	0.9189618644	0.2377655938
317	0.9194915254	0.2371335746
318	0.9205508475	0.2368623779
319	0.9205508475	0.2367038753
320	0.9205508475	0.2362749466
321	0.9210805085	0.2356046653
322	0.9210805085	0.235379329
323	0.9221398305	0.2348683932
324	0.9221398305	0.2345932285
325	0.9231991525	0.2341023704
326	0.9237288136	0.2338856092
327	0.9231991525	0.2335870208
328	0.9242584746	0.2333267344
329	0.9247881356	0.2329848427
330	0.9247881356	0.2325904645
331	0.9263771186	0.2323284072
332	0.9263771186	0.2319648305
333	0.9274364407	0.2315983849
334	0.9269067797	0.231410471
335	0.9263771186	0.2309131161
336	0.9269067797	0.2305810125
337	0.9284957627	0.230099992
338	0.9274364407	0.2298017636
339	0.9269067797	0.2295344912
340	0.9279661017	0.2291682355
341	0.9274364407	0.2288457937
342	0.9284957627	0.2284587081
343	0.9284957627	0.2282315197
344	0.9290254237	0.2279610728
345	0.9279661017	0.2276310607
346	0.9279661017	0.2273510337
347	0.9284957627	0.2270457732
348	0.9290254237	0.2268217544
349	0.9284957627	0.2263835428
350	0.9290254237	0.2261244504
351	0.9274364407	0.2258630525
352	0.9274364407	0.2256728657
353	0.9274364407	0.225224837
354	0.9284957627	0.2249732433
355	0.9290254237	0.2247559607
356	0.9295550847	0.2243314997
357	0.9295550847	0.2241251112
358	0.9300847458	0.2237315722
359	0.9306144068	0.2231190156
360	0.9311440678	0.2228441292
361	0.9327330508	0.2224096948
362	0.9332627119	0.2220954836
363	0.9327330508	0.2219794578
364	0.9322033898	0.2217498449
365	0.9332627119	0.2213898575
366	0.9337923729	0.2211272215
367	0.9332627119	0.220959748
368	0.9332627119	0.2205214552
369	0.9332627119	0.2201911758
370	0.9327330508	0.2199316705
371	0.9337923729	0.2195686079
372	0.9348516949	0.219094462
373	0.9332627119	0.2187559125
374	0.9337923729	0.2184439706
375	0.9337923729	0.2182682336
376	0.9348516949	0.2179926368
377	0.9353813559	0.2176692214
378	0.9359110169	0.2173080292
379	0.9359110169	0.2170003509
380	0.9359110169	0.2166047482
381	0.936440678	0.2162476039
382	0.936970339	0.2159446192
383	0.936970339	0.2156233419
384	0.936970339	0.2154234012
385	0.936970339	0.2152513638
386	0.938559322	0.2147626705
387	0.9396186441	0.2144447684
388	0.9401483051	0.2138013141
389	0.9401483051	0.2134562255
390	0.9401483051	0.2132434854
391	0.938559322	0.2129850321
392	0.938559322	0.2127511762
393	0.9396186441	0.2125698743
394	0.9390889831	0.2123632761
395	0.938029661	0.2119464904
396	0.9390889831	0.2114993148
397	0.9390889831	0.2113283955
398	0.9396186441	0.2111371767
399	0.9396186441	0.2108969584
400	0.9396186441	0.2106279863
401	0.9401483051	0.2102480023
402	0.9406779661	0.2097914723
403	0.9406779661	0.2096154001
404	0.9406779661	0.2093322678
405	0.9417372881	0.209004733
406	0.9417372881	0.2088881612
407	0.9412076271	0.20857299
408	0.9412076271	0.2084966253
409	0.9412076271	0.2081315165
410	0.9412076271	0.2078099473
411	0.9406779661	0.2076104646
412	0.9412076271	0.2073532235
413	0.9401483051	0.2070668484
414	0.9412076271	0.2067307205
415	0.9412076271	0.206560984
416	0.9422669492	0.20637388
417	0.9417372881	0.2061692897
418	0.9417372881	0.2059408254
419	0.9422669492	0.2058209684
420	0.9422669492	0.205652551
421	0.9417372881	0.2053330039
422	0.9427966102	0.2048724943
423	0.9433262712	0.2046108288
424	0.9438559322	0.2044826
425	0.9427966102	0.2041763866
426	0.9433262712	0.2037657402
427	0.9433262712	0.2034766982
428	0.9438559322	0.2033161546
429	0.9438559322	0.2031725957
430	0.9443855932	0.2028063698
431	0.9438559322	0.2025318892
432	0.9443855932	0.2022574997
433	0.9449152542	0.2019509112
434	0.9454449153	0.2017287881
435	0.9454449153	0.2015956926
436	0.9465042373	0.2013034897
437	0.9470338983	0.2010362763
438	0.9465042373	0.2007986006
439	0.9470338983	0.2002991955
440	0.9480932203	0.2000442913
441	0.9470338983	0.1997441732
442	0.9480932203	0.1993500936
443	0.9475635593	0.1990544947
444	0.9470338983	0.198728917
445	0.9475635593	0.1985359181
446	0.9491525424	0.1982106288
447	0.9486228814	0.1978801199
448	0.9491525424	0.1976345276
449	0.9491525424	0.1974197014
450	0.9491525424	0.1972811498
451	0.9507415254	0.1970473533
452	0.9491525424	0.1967566184
453	0.9486228814	0.1965605873
454	0.9496822034	0.19644169
455	0.9496822034	0.196282889
456	0.9502118644	0.1960155637
457	0.9502118644	0.1957484399
458	0.9512711864	0.1955366001
459	0.9507415254	0.1952259972
460	0.9512711864	0.195033495
461	0.9512711864	0.1948461711
462	0.9507415254	0.1944452737
463	0.9502118644	0.1941741745
464	0.9502118644	0.1940358589
465	0.9523305085	0.193723899
466	0.9523305085	0.1936193547
467	0.9528601695	0.193360265
468	0.9528601695	0.1930692588
469	0.9523305085	0.1927535133
470	0.9523305085	0.19253221
471	0.9539194915	0.1921597287
472	0.9539194915	0.1917160769
473	0.9539194915	0.1915709356
474	0.9549788136	0.1913132004
475	0.9549788136	0.1910769624
476	0.9539194915	0.1909308142
477	0.9528601695	0.190721935
478	0.9533898305	0.1905380284
479	0.9528601695	0.1902617984
480	0.9533898305	0.1901082659
481	0.9539194915	0.1898869551
482	0.9549788136	0.1896827331
483	0.9544491525	0.1894366167
484	0.9549788136	0.1892529172
485	0.9549788136	0.1889417487
486	0.9544491525	0.1887822362
487	0.9555084746	0.1882825637
488	0.9560381356	0.1880268732
489	0.9560381356	0.1877839571
490	0.9576271186	0.1874609279
491	0.9576271186	0.1870992594
492	0.9570974576	0.1868087604
493	0.9576271186	0.1865682244
494	0.9576271186	0.1863847995
495	0.9576271186	0.1861761447
496	0.9576271186	0.1859002314
497	0.9576271186	0.1856724902
498	0.9576271186	0.1855861852
499	0.9570974576	0.1853868266
