iter	Passed	Remaining
0	7	7593
1	15	7704
2	28	9442
3	34	8644
4	41	8345
5	49	8183
6	56	8013
7	63	7926
8	74	8225
9	81	8086
10	92	8298
11	99	8204
12	106	8079
13	114	8044
14	124	8182
15	131	8073
16	137	7977
17	145	7937
18	152	7895
19	160	7849
20	171	7985
21	179	7996
22	186	7921
23	193	7872
24	200	7812
25	206	7738
26	217	7837
27	225	7819
28	232	7790
29	241	7813
30	249	7794
31	255	7738
32	268	7866
33	275	7832
34	282	7791
35	290	7783
36	299	7783
37	307	7786
38	313	7729
39	321	7704
40	332	7771
41	339	7753
42	347	7726
43	353	7688
44	364	7731
45	370	7682
46	377	7647
47	382	7595
48	391	7592
49	397	7555
50	405	7547
51	413	7535
52	419	7496
53	426	7463
54	433	7452
55	440	7432
56	447	7411
57	459	7458
58	467	7457
59	475	7450
60	482	7425
61	489	7408
62	496	7391
63	506	7413
64	513	7387
65	520	7361
66	527	7341
67	533	7317
68	540	7299
69	549	7300
70	559	7314
71	567	7308
72	574	7296
73	582	7291
74	590	7279
75	600	7303
76	609	7305
77	616	7283
78	623	7263
79	631	7259
80	639	7253
81	653	7314
82	664	7343
83	679	7408
84	688	7407
85	697	7407
86	703	7384
87	715	7417
88	724	7417
89	731	7395
90	739	7389
91	746	7371
92	756	7373
93	768	7406
94	776	7395
95	784	7386
96	794	7396
97	802	7382
98	814	7416
99	823	7407
100	830	7395
101	838	7379
102	845	7359
103	851	7335
104	861	7343
105	869	7333
106	877	7321
107	883	7299
108	890	7281
109	898	7271
110	908	7277
111	914	7253
112	920	7227
113	927	7208
114	934	7195
115	942	7180
116	950	7174
117	959	7169
118	965	7151
119	973	7140
120	980	7126
121	987	7108
122	994	7088
123	1004	7094
124	1011	7078
125	1017	7057
126	1023	7036
127	1031	7027
128	1038	7011
129	1045	6998
130	1055	7000
131	1061	6983
132	1068	6967
133	1075	6947
134	1081	6928
135	1088	6914
136	1097	6911
137	1104	6900
138	1111	6882
139	1117	6866
140	1124	6851
141	1130	6831
142	1137	6816
143	1147	6821
144	1154	6805
145	1159	6784
146	1166	6769
147	1173	6757
148	1180	6739
149	1186	6721
150	1197	6731
151	1212	6767
152	1228	6800
153	1247	6850
154	1261	6879
155	1271	6880
156	1278	6862
157	1286	6853
158	1296	6855
159	1307	6862
160	1315	6856
161	1324	6852
162	1332	6841
163	1344	6851
164	1352	6843
165	1361	6838
166	1369	6832
167	1377	6823
168	1389	6832
169	1397	6821
170	1412	6849
171	1422	6849
172	1430	6840
173	1437	6826
174	1444	6810
175	1452	6801
176	1458	6783
177	1470	6789
178	1479	6786
179	1486	6773
180	1492	6752
181	1498	6735
182	1504	6718
183	1516	6727
184	1525	6721
185	1533	6711
186	1540	6696
187	1546	6678
188	1553	6667
189	1564	6669
190	1570	6653
191	1578	6642
192	1586	6631
193	1594	6625
194	1601	6610
195	1608	6597
196	1615	6583
197	1621	6568
198	1628	6553
199	1634	6536
200	1640	6521
201	1647	6506
202	1653	6493
203	1665	6498
204	1671	6484
205	1678	6469
206	1685	6455
207	1691	6441
208	1698	6426
209	1707	6422
210	1715	6416
211	1723	6404
212	1729	6390
213	1737	6383
214	1744	6370
215	1752	6360
216	1761	6355
217	1768	6344
218	1774	6329
219	1781	6316
220	1788	6303
221	1794	6287
222	1805	6289
223	1813	6282
224	1821	6275
225	1830	6268
226	1838	6261
227	1845	6249
228	1856	6249
229	1862	6235
230	1868	6221
231	1876	6212
232	1884	6202
233	1892	6194
234	1903	6197
235	1912	6190
236	1918	6176
237	1925	6164
238	1931	6149
239	1937	6136
240	1946	6130
241	1955	6124
242	1963	6115
243	1969	6102
244	1975	6089
245	1983	6078
246	1992	6073
247	2002	6071
248	2009	6060
249	2017	6051
250	2023	6039
251	2030	6027
252	2037	6014
253	2046	6011
254	2053	6000
255	2060	5988
256	2066	5975
257	2073	5963
258	2081	5954
259	2089	5947
260	2099	5943
261	2116	5962
262	2125	5956
263	2131	5943
264	2138	5931
265	2144	5918
266	2154	5914
267	2166	5916
268	2173	5905
269	2180	5896
270	2187	5885
271	2194	5874
272	2204	5870
273	2213	5864
274	2219	5852
275	2226	5841
276	2234	5831
277	2241	5822
278	2252	5819
279	2256	5802
280	2263	5790
281	2269	5779
282	2276	5768
283	2283	5757
284	2290	5746
285	2298	5739
286	2307	5731
287	2314	5721
288	2322	5713
289	2328	5701
290	2335	5689
291	2343	5681
292	2354	5681
293	2361	5671
294	2369	5661
295	2376	5651
296	2383	5641
297	2390	5631
298	2399	5624
299	2407	5616
300	2413	5605
301	2420	5594
302	2427	5584
303	2434	5574
304	2444	5570
305	2453	5563
306	2460	5553
307	2466	5540
308	2472	5529
309	2479	5517
310	2485	5507
311	2496	5505
312	2503	5495
313	2511	5485
314	2517	5474
315	2524	5463
316	2531	5453
317	2539	5446
318	2547	5438
319	2554	5428
320	2562	5419
321	2569	5409
322	2575	5398
323	2582	5387
324	2592	5384
325	2599	5374
326	2605	5363
327	2613	5353
328	2620	5343
329	2627	5335
330	2637	5331
331	2644	5321
332	2651	5310
333	2659	5302
334	2666	5293
335	2673	5282
336	2683	5278
337	2691	5271
338	2698	5262
339	2705	5252
340	2712	5242
341	2718	5230
342	2725	5220
343	2734	5215
344	2743	5207
345	2749	5197
346	2756	5187
347	2764	5178
348	2770	5168
349	2781	5164
350	2797	5171
351	2800	5156
352	2808	5146
353	2815	5137
354	2822	5128
355	2829	5117
356	2835	5107
357	2843	5099
358	2851	5090
359	2859	5083
360	2870	5081
361	2879	5074
362	2886	5065
363	2899	5066
364	2907	5058
365	2914	5049
366	2923	5041
367	2931	5034
368	2940	5028
369	2947	5018
370	2958	5015
371	2965	5006
372	2969	4991
373	2976	4982
374	2983	4972
375	2989	4961
376	2998	4955
377	3008	4950
378	3016	4941
379	3022	4931
380	3028	4920
381	3035	4911
382	3042	4901
383	3051	4895
384	3060	4888
385	3068	4880
386	3075	4870
387	3083	4863
388	3090	4853
389	3096	4843
390	3107	4840
391	3114	4830
392	3121	4821
393	3130	4814
394	3138	4806
395	3147	4800
396	3157	4795
397	3163	4785
398	3170	4775
399	3178	4767
400	3185	4758
401	3193	4750
402	3204	4746
403	3210	4736
404	3217	4726
405	3223	4715
406	3229	4706
407	3236	4696
408	3248	4693
409	3256	4685
410	3264	4678
411	3271	4669
412	3279	4661
413	3286	4651
414	3297	4648
415	3305	4640
416	3312	4630
417	3318	4620
418	3325	4611
419	3332	4601
420	3341	4596
421	3348	4586
422	3356	4578
423	3364	4570
424	3371	4561
425	3379	4553
426	3386	4544
427	3397	4539
428	3405	4532
429	3414	4525
430	3422	4518
431	3426	4505
432	3435	4498
433	3445	4493
434	3453	4484
435	3459	4475
436	3468	4468
437	3476	4460
438	3487	4456
439	3496	4450
440	3511	4450
441	3519	4442
442	3527	4435
443	3535	4426
444	3542	4418
445	3550	4410
446	3556	4400
447	3564	4392
448	3574	4386
449	3582	4378
450	3587	4366
451	3594	4358
452	3602	4350
453	3609	4341
454	3621	4337
455	3628	4329
456	3635	4319
457	3641	4309
458	3649	4301
459	3656	4292
460	3666	4287
461	3673	4277
462	3680	4268
463	3686	4258
464	3693	4249
465	3702	4242
466	3709	4233
467	3718	4226
468	3724	4217
469	3731	4208
470	3738	4198
471	3749	4193
472	3756	4185
473	3763	4176
474	3770	4166
475	3776	4157
476	3783	4148
477	3794	4143
478	3801	4135
479	3808	4125
480	3814	4116
481	3821	4107
482	3828	4097
483	3835	4088
484	3845	4083
485	3852	4074
486	3859	4065
487	3866	4056
488	3874	4048
489	3880	4039
490	3887	4030
491	3896	4023
492	3903	4014
493	3911	4006
494	3917	3997
495	3924	3987
496	3931	3978
497	3941	3973
498	3949	3964
499	3956	3956
500	3963	3947
501	3970	3938
502	3977	3930
503	3988	3925
504	3995	3916
505	4003	3908
506	4010	3899
507	4018	3891
508	4025	3883
509	4034	3876
510	4041	3867
511	4048	3858
512	4055	3849
513	4062	3841
514	4069	3832
515	4076	3824
516	4087	3818
517	4095	3811
518	4103	3803
519	4111	3795
520	4119	3787
521	4129	3781
522	4136	3773
523	4144	3764
524	4151	3755
525	4159	3748
526	4166	3739
527	4173	3730
528	4183	3724
529	4194	3719
530	4206	3715
531	4213	3706
532	4219	3697
533	4227	3688
534	4233	3679
535	4243	3673
536	4254	3668
537	4261	3659
538	4268	3650
539	4274	3641
540	4281	3632
541	4287	3623
542	4299	3618
543	4307	3610
544	4314	3601
545	4320	3592
546	4327	3583
547	4334	3575
548	4344	3569
549	4351	3560
550	4359	3552
551	4366	3544
552	4373	3535
553	4380	3526
554	4389	3519
555	4397	3511
556	4403	3502
557	4411	3494
558	4417	3485
559	4424	3476
560	4430	3467
561	4440	3460
562	4446	3451
563	4453	3442
564	4460	3434
565	4466	3424
566	4472	3415
567	4476	3404
568	4485	3397
569	4493	3389
570	4499	3380
571	4507	3372
572	4514	3363
573	4521	3355
574	4528	3346
575	4538	3341
576	4546	3332
577	4552	3323
578	4560	3315
579	4566	3306
580	4572	3297
581	4583	3292
582	4590	3283
583	4597	3274
584	4603	3265
585	4612	3258
586	4618	3249
587	4626	3241
588	4636	3235
589	4643	3227
590	4650	3218
591	4657	3209
592	4664	3201
593	4671	3192
594	4682	3187
595	4689	3178
596	4696	3170
597	4704	3162
598	4711	3154
599	4718	3145
600	4727	3138
601	4735	3130
602	4742	3122
603	4748	3113
604	4755	3104
605	4761	3095
606	4769	3087
607	4779	3081
608	4785	3072
609	4792	3064
610	4799	3055
611	4806	3047
612	4815	3039
613	4825	3033
614	4833	3025
615	4840	3017
616	4847	3009
617	4855	3001
618	4867	2996
619	4878	2990
620	4886	2982
621	4893	2973
622	4900	2965
623	4906	2956
624	4915	2949
625	4922	2941
626	4929	2932
627	4939	2926
628	4947	2918
629	4953	2909
630	4961	2901
631	4973	2895
632	4979	2887
633	4985	2878
634	4991	2869
635	4999	2861
636	5006	2852
637	5020	2848
638	5037	2845
639	5052	2841
640	5067	2838
641	5080	2833
642	5090	2826
643	5098	2818
644	5105	2810
645	5116	2803
646	5123	2795
647	5132	2788
648	5140	2780
649	5149	2772
650	5156	2764
651	5166	2757
652	5174	2749
653	5180	2740
654	5187	2732
655	5194	2723
656	5201	2715
657	5209	2707
658	5218	2700
659	5224	2691
660	5232	2683
661	5240	2675
662	5248	2667
663	5257	2660
664	5266	2653
665	5274	2645
666	5281	2636
667	5288	2628
668	5295	2619
669	5300	2610
670	5311	2604
671	5317	2595
672	5324	2586
673	5330	2578
674	5337	2570
675	5344	2561
676	5352	2553
677	5362	2546
678	5369	2538
679	5376	2530
680	5383	2521
681	5389	2513
682	5395	2504
683	5406	2497
684	5414	2489
685	5421	2481
686	5429	2473
687	5437	2465
688	5444	2457
689	5455	2451
690	5461	2442
691	5467	2433
692	5474	2425
693	5480	2416
694	5487	2408
695	5494	2399
696	5504	2392
697	5512	2384
698	5521	2377
699	5529	2369
700	5538	2362
701	5549	2355
702	5558	2348
703	5567	2340
704	5574	2332
705	5581	2324
706	5589	2316
707	5601	2310
708	5612	2303
709	5624	2297
710	5633	2289
711	5639	2281
712	5647	2273
713	5655	2265
714	5662	2257
715	5671	2249
716	5684	2243
717	5691	2235
718	5697	2226
719	5705	2218
720	5711	2210
721	5719	2202
722	5731	2195
723	5738	2187
724	5745	2179
725	5752	2171
726	5759	2162
727	5766	2154
728	5776	2147
729	5783	2139
730	5789	2130
731	5797	2122
732	5806	2115
733	5814	2107
734	5821	2099
735	5829	2091
736	5836	2082
737	5843	2074
738	5851	2066
739	5860	2059
740	5868	2051
741	5876	2043
742	5883	2035
743	5890	2026
744	5897	2018
745	5908	2011
746	5915	2003
747	5923	1995
748	5931	1987
749	5937	1979
750	5945	1971
751	5955	1964
752	5962	1955
753	5969	1947
754	5976	1939
755	5984	1931
756	5991	1923
757	6003	1916
758	6010	1908
759	6018	1900
760	6025	1892
761	6033	1884
762	6040	1876
763	6053	1869
764	6059	1861
765	6067	1853
766	6075	1845
767	6082	1837
768	6089	1829
769	6101	1822
770	6109	1814
771	6118	1807
772	6126	1799
773	6134	1791
774	6143	1783
775	6152	1776
776	6160	1768
777	6168	1760
778	6175	1751
779	6183	1744
780	6195	1737
781	6202	1729
782	6209	1720
783	6215	1712
784	6222	1704
785	6230	1696
786	6237	1688
787	6247	1680
788	6254	1672
789	6262	1664
790	6269	1656
791	6276	1648
792	6283	1640
793	6294	1633
794	6301	1625
795	6308	1616
796	6320	1609
797	6331	1602
798	6338	1594
799	6345	1586
800	6352	1578
801	6360	1570
802	6374	1563
803	6384	1556
804	6391	1548
805	6399	1540
806	6407	1532
807	6417	1524
808	6425	1517
809	6433	1508
810	6440	1500
811	6447	1492
812	6453	1484
813	6461	1476
814	6471	1468
815	6478	1460
816	6485	1452
817	6492	1444
818	6499	1436
819	6506	1428
820	6515	1420
821	6523	1412
822	6530	1404
823	6537	1396
824	6543	1388
825	6550	1379
826	6558	1372
827	6568	1364
828	6576	1356
829	6584	1348
830	6591	1340
831	6598	1332
832	6605	1324
833	6615	1316
834	6621	1308
835	6628	1300
836	6634	1292
837	6641	1283
838	6648	1275
839	6657	1268
840	6665	1260
841	6672	1252
842	6679	1243
843	6686	1235
844	6693	1227
845	6700	1219
846	6711	1212
847	6718	1204
848	6724	1196
849	6731	1187
850	6739	1179
851	6746	1171
852	6756	1164
853	6763	1156
854	6769	1148
855	6777	1140
856	6785	1132
857	6791	1124
858	6799	1116
859	6808	1108
860	6815	1100
861	6821	1092
862	6828	1084
863	6835	1075
864	6841	1067
865	6849	1059
866	6859	1052
867	6867	1044
868	6874	1036
869	6880	1028
870	6887	1020
871	6893	1011
872	6903	1004
873	6911	996
874	6917	988
875	6925	980
876	6933	972
877	6940	964
878	6952	957
879	6959	949
880	6966	940
881	6972	932
882	6979	924
883	6986	916
884	6995	908
885	7004	901
886	7017	893
887	7028	886
888	7034	878
889	7040	870
890	7047	862
891	7054	854
892	7067	846
893	7075	838
894	7082	830
895	7089	822
896	7095	814
897	7102	806
898	7114	799
899	7122	791
900	7128	783
901	7135	775
902	7142	767
903	7148	759
904	7157	751
905	7165	743
906	7172	735
907	7179	727
908	7188	719
909	7197	711
910	7206	704
911	7214	696
912	7223	688
913	7230	680
914	7238	672
915	7246	664
916	7257	656
917	7265	648
918	7273	641
919	7280	633
920	7288	625
921	7295	617
922	7306	609
923	7314	601
924	7322	593
925	7329	585
926	7337	577
927	7344	569
928	7356	562
929	7362	554
930	7369	546
931	7375	538
932	7382	530
933	7388	522
934	7396	514
935	7407	506
936	7414	498
937	7422	490
938	7428	482
939	7435	474
940	7441	466
941	7452	458
942	7459	450
943	7465	442
944	7472	434
945	7480	426
946	7487	419
947	7500	411
948	7508	403
949	7514	395
950	7521	387
951	7528	379
952	7535	371
953	7544	363
954	7552	355
955	7560	347
956	7566	339
957	7573	332
958	7580	324
959	7587	316
960	7598	308
961	7606	300
962	7613	292
963	7621	284
964	7629	276
965	7637	268
966	7649	261
967	7656	253
968	7664	245
969	7672	237
970	7680	229
971	7689	221
972	7698	213
973	7705	205
974	7714	197
975	7729	190
976	7737	182
977	7745	174
978	7753	166
979	7761	158
980	7768	150
981	7776	142
982	7788	134
983	7795	126
984	7804	118
985	7811	110
986	7817	102
987	7824	95
988	7833	87
989	7842	79
990	7849	71
991	7856	63
992	7863	55
993	7869	47
994	7877	39
995	7887	31
996	7893	23
997	7899	15
998	7906	7
999	7916	0
